Time(s),ADC
5.0270,262
5.0321,691
5.0361,627
5.0396,156
5.0436,0
5.0471,250
5.0516,691
5.0556,639
5.0601,170
5.0641,0
5.0671,241
5.0726,692
5.0766,642
5.0801,178
5.0841,0
5.0871,242
5.0916,692
5.0966,644
5.1001,179
5.1041,0
5.1071,240
5.1116,690
5.1156,639
5.1201,170
5.1241,0
5.1281,237
5.1325,691
5.1365,641
5.1400,183
5.1445,0
5.1485,224
5.1525,692
5.1565,645
5.1600,186
5.1640,0
5.1685,224
5.1725,691
5.1765,651
5.1800,185
5.1840,0
5.1876,228
5.1921,691
5.1961,647
5.1996,184
5.2036,0
5.2076,222
5.2121,691
5.2161,646
5.2196,186
5.2236,0
5.2276,217
5.2321,691
5.2361,648
5.2396,195
5.2436,0
5.2471,207
5.2521,692
5.2561,645
5.2597,186
5.2637,0
5.2682,216
5.2722,691
5.2762,650
5.2797,191
5.2837,0
5.2882,207
5.2922,691
5.2962,654
5.2997,198
5.3037,0
5.3082,211
5.3122,691
5.3162,655
5.3197,202
5.3237,0
5.3282,214
5.3322,691
5.3362,649
5.3397,210
5.3437,0
5.3482,206
5.3525,691
5.3565,658
5.3600,205
5.3640,0
5.3685,205
5.3725,692
5.3755,657
5.3800,215
5.3840,0
5.3885,206
5.3925,691
5.3965,660
5.4000,209
5.4040,0
5.4085,210
5.4125,691
5.4165,649
5.4200,194
5.4240,0
5.4285,199
5.4325,691
5.4365,660
5.4400,201
5.4446,0
5.4486,213
5.4521,692
5.4561,667
5.4606,227
5.4646,0
5.4686,198
5.4716,691
5.4756,662
5.4801,221
5.4841,0
5.4882,190
5.4915,692
5.4964,662
5.4999,224
5.5044,0
5.5085,191
5.5120,691
5.5159,669
5.5205,246
5.5245,0
5.5286,184
5.5316,692
5.5357,665
5.5402,232
5.5432,0
5.5482,182
5.5523,691
5.5563,669
5.5598,237
5.5638,0
5.5683,178
5.5723,691
5.5763,668
5.5798,246
5.5838,0
5.5883,178
5.5923,692
5.5963,667
5.5998,234
