Time(s),Filtered_Voltage
259.9494,0.005452579078509517
259.9536,0.005954488568757552
259.9575,0.005663836505856754
259.9622,0.004782129149174988
259.9662,0.004059638343862317
259.9702,0.0037383909995309865
259.9736,0.0032544345880638533
259.9776,0.0020437174306497823
259.9817,0.0003635671699324224
259.9858,-0.0008806923840704816
259.9898,-0.001053098687841992
259.9934,-0.0004065349094687959
259.9974,0.00018518074388739966
260.0019,6.51796709392498e-06
260.0059,-0.0009867288596243392
260.0099,-0.0022541073761841316
260.0135,-0.003042024977267054
260.0176,-0.0026546244083403394
260.0222,-0.0006654162729986576
260.0262,0.00272053456385854
260.0302,0.006342163236519127
260.0337,0.008388626413118681
260.0378,0.007566528398584586
260.0414,0.0043062463552325245
260.0464,0.0006799373788886969
260.0495,-0.0012112245021430193
260.0542,-0.0009218794951084756
260.0582,0.00019421298833210065
260.0617,0.0003713980457799098
260.0659,-0.0010455904181277359
260.0699,-0.003160325300011174
260.0736,-0.004300634635067545
260.0775,-0.003308487821476711
260.0816,-0.00042029136199510234
260.0856,0.0028496755281146365
260.0897,0.004702551539261331
260.0937,0.004190320906062218
260.0977,0.0017101628424446317
260.1022,-0.001383818035377664
260.1062,-0.0036534340648131545
260.1102,-0.004334824755729544
260.1137,-0.0036428645175837506
260.1178,-0.002582884633177122
260.1214,-0.0023144267809584794
260.1255,-0.0032657295295163203
260.1295,-0.00461806346514654
260.134,-0.004842350947880427
260.138,-0.003089493273777999
260.1415,-0.00014220250629233764
260.1455,0.002188433868328237
260.1495,0.002741094573626001
260.1541,0.002029489802349966
260.1581,0.0015507066245304627
260.1616,0.0022053794853236016
260.1656,0.003574070721527265
260.1697,0.0046602634317061365
260.1742,0.0049839333936097865
260.1782,0.004749027251481871
260.1813,0.004228924385722778
260.1853,0.0034277429390461773
260.1903,0.0023813728358103815
260.1939,0.001474482417220213
260.1979,0.0012554590219650212
260.2014,0.001975764390173091
260.2057,0.0033335080823749287
260.2098,0.004583368191148735
260.2135,0.004922983301774998
260.2174,0.003999283956347407
